hash,timestamp,blockNumber,status,route,testMode,sourceToken,targetToken,tokenPair,isFlashLoan,amountIn,amountInFormatted,finalBalance,finalBalanceFormatted,profit,profitFormatted,flashLoanFee,netProfit,profitPercent,firstLeg_dex,firstLeg_router,firstLeg_expectedOutput,firstLeg_actualOutput,firstLeg_actualOutputFormatted,firstLeg_outputDelta,firstLeg_accuracyPercent,secondLeg_dex,secondLeg_router,secondLeg_expectedOutput,secondLeg_actualOutput,secondLeg_actualOutputFormatted,secondLeg_outputDelta,secondLeg_accuracyPercent,overallAccuracy,profitPredictionAccuracy,profitImpact,gasUsed,gasPrice,gasCost,gasCostInUSD,executionTime,quoteAge,tradeInputAmount,tradeFinalBalance,accountBalance
0x59e0fd66530d0a7e3c02d008b86166a8b09720500f1ca82903d6d24b02e7f7d6,2025-05-10T00:11:55.000Z,0,success,uniswap-to-traderjoe,true,USDC,BTC.b,USDC-WBTC,true,1511553,1.511553,1505157,1.505157,-0.006396,-0.006396,0,-0.006396,-0.42,uniswap,Unknown,0,0,N/A,0,0.00,traderjoe,Unknown,0,0,N/A,0,0.00,0.00,0.42,99.58,0,0,0,0,N/A,N/A,1511553,1505157,1.505157
0xeabd3345464bc2f67413746643f74b951498932c9f311eb5ea683b39ec6086ee,2025-05-10T00:12:10.000Z,0,success,uniswap-to-traderjoe,true,USDC,BTC.b,USDC-WBTC,true,1520421,1.520421,1513399,1.513399,-0.007022,-0.007022,0,-0.007022,-0.46,uniswap,Unknown,0,0,N/A,0,0.00,traderjoe,Unknown,0,0,N/A,0,0.00,0.00,0.46,99.54,0,0,0,0,N/A,N/A,1520421,1513399,1.513399
