hash,timestamp,blockNumber,status,route,testMode,sourceToken,targetToken,tokenPair,isFlashLoan,amountIn,amountInFormatted,finalBalance,finalBalanceFormatted,profit,profitFormatted,flashLoanFee,netProfit,profitPercent,firstLeg_dex,firstLeg_router,firstLeg_expectedOutput,firstLeg_actualOutput,firstLeg_actualOutputFormatted,firstLeg_outputDelta,firstLeg_accuracyPercent,secondLeg_dex,secondLeg_router,secondLeg_expectedOutput,secondLeg_actualOutput,secondLeg_actualOutputFormatted,secondLeg_outputDelta,secondLeg_accuracyPercent,overallAccuracy,profitPredictionAccuracy,profitImpact,gasUsed,gasPrice,gasCost,gasCostInUSD,executionTime,quoteAge,tradeInputAmount,tradeFinalBalance,accountBalance
0x53b926b53883999cebe5294e73629f05a35e80ab512e1a50a6446f617b14fd78,2025-05-10T00:12:26.000Z,0,success,uniswap-to-traderjoe,true,USDC,WAVAX,USDC-WAVAX,true,1490157,1.490157,1488825,1.488825,-0.001332,-0.001332,0,-0.001332,-0.09,uniswap,Unknown,0,0,N/A,0,0.00,traderjoe,Unknown,0,0,N/A,0,0.00,0.00,0.09,99.91,0,0,0,0,N/A,N/A,1490157,1488825,1.488825
0x9235aff397cec2f30e909c5e725c22bc2662e993cbc70e3613e46398283b6238,2025-05-10T00:12:42.000Z,0,success,uniswap-to-traderjoe,true,USDC,WAVAX,USDC-WAVAX,true,1498658,1.498658,1496426,1.496426,-0.002232,-0.002232,0,-0.002232,-0.15,uniswap,Unknown,0,0,N/A,0,0.00,traderjoe,Unknown,0,0,N/A,0,0.00,0.00,0.15,99.85,0,0,0,0,N/A,N/A,1498658,1496426,1.496426
0x9202e1ce6404562c56dc0a7eceb5fe1991c386ff69552026a09efdb1e8dddec8,2025-09-10T19:59:23.000Z,0,success,uniswap-to-traderjoe,true,USDC,WAVAX,USDC-WAVAX,true,1478627,1.478627,1476696,1.476696,-0.001931,-0.001931,0,-0.001931,-0.13,uniswap,Unknown,0,0,N/A,0,0.00,traderjoe,Unknown,0,0,N/A,0,0.00,0.00,0.13,99.87,0,0,0,0,N/A,N/A,1478627,1476696,1.476696
0x2933d7e20e392a60b8f296328011f5ca81a005fb6a14e08239df36bb7bb79c02,2025-09-10T19:59:40.000Z,0,success,uniswap-to-traderjoe,true,USDC,WAVAX,USDC-WAVAX,true,1499849,1.499849,1498236,1.498236,-0.001613,-0.001613,0,-0.001613,-0.11,uniswap,Unknown,0,0,N/A,0,0.00,traderjoe,Unknown,0,0,N/A,0,0.00,0.00,0.11,99.89,0,0,0,0,N/A,N/A,1499849,1498236,1.498236
